RepeatUnitSMILES,PropertyValue,TestFreq,TestFreqUnit,TestTemp,TestTempUnit
*c7ccc(Oc6cccc(Oc5cccc(n4c(=O)c3ccc(Oc2ccc1c(=O)n(*)c(=O)c1c2)cc3c4=O)c5)c6C#N)cc7,0.0007,1000,kHz,25,C
*c4ccc(c3nc2cc1sc(*)nc1cc2s3)cc4,0.0007,0.1,KHz,100,C
*c7cccc(Oc6cccc(Oc5cccc(n4c(=O)c3ccc(C(c2ccc1c(=O)n(*)c(=O)c1c2)(C(F)(F)F)C(F)(F)F)cc3c4=O)c5)c6)c7,0.00072,1,KHz,-50,C
*N=P(*)(Cl)Cl,0.00072377,10,kHz,-123,C
*c9ccc(Oc8cccc(Oc7cccc(Oc6cccc(Oc5ccc(n4c(=O)c3ccc(C(c2ccc1c(=O)n(*)c(=O)c1c2)(C(F)(F)F)C(F)(F)F)cc3c4=O)cc5)c6C#N)c7C#N)c8C#N)cc9,0.00073,0.1,KHz,-150,C
*N=P(*)(Cl)Cl,0.000741737,1,kHz,-123,C
*Sc1ccc(*)cc1,0.00075,0.1,KHz,30,C
*Oc5ccc(c1ccccc1c2ccccc2c4ccc(OC(=O)c3ccc(C(*)=O)cc3)cc4)cc5,0.00075,0.1,KHz,150,C
*Oc5ccc(c1ccccc1c2ccccc2c4ccc(OC(=O)c3ccc(C(*)=O)cc3)cc4)cc5,0.00075,0.4,KHz,150,C
*Oc5ccc(c1ccccc1c2ccccc2c4ccc(OC(=O)c3ccc(C(*)=O)cc3)cc4)cc5,0.00075,1,KHz,150,C
*Oc5ccc(c1ccccc1c2ccccc2c4ccc(OC(=O)c3ccc(C(*)=O)cc3)cc4)cc5,0.00075,0.1,KHz,200,C
*Oc5ccc(c1ccccc1c2ccccc2c4ccc(OC(=O)c3ccc(C(*)=O)cc3)cc4)cc5,0.00075,0.4,KHz,200,C
*CC(*)c1cccc2ccccc12,0.00075,100,kHz,25,C
*CC(*)C,0.00075,1,KHz,95,C
*CC(*)C,0.00075,10,KHz,95,C
*CC(*)C,0.00075,80,KHz,95,C
*c9ccc(Oc8cccc(Oc7cccc(Oc6cccc(Oc5cccc(n4c(=O)c3ccc(C(c2ccc1c(=O)n(*)c(=O)c1c2)(C(F)(F)F)C(F)(F)F)cc3c4=O)c5)c6C#N)c7C#N)c8C#N)cc9,0.00075,1000,KHz,-150,C
*c9ccc(Oc8cccc(Oc7cccc(Oc6cccc(Oc5ccc(n4c(=O)c3ccc(C(c2ccc1c(=O)n(*)c(=O)c1c2)(C(F)(F)F)C(F)(F)F)cc3c4=O)cc5)c6C#N)c7C#N)c8C#N)cc9,0.00075,0.01,KHz,-150,C
*c7cccc(Oc6cccc(Oc5cccc(n4c(=O)c3ccc(C(c2ccc1c(=O)n(*)c(=O)c1c2)(C(F)(F)F)C(F)(F)F)cc3c4=O)c5)c6)c7,0.00075,0.1,KHz,-50,C
*c7cccc(Oc6cccc(Oc5cccc(n4c(=O)c3ccc(C(c2ccc1c(=O)n(*)c(=O)c1c2)(C(F)(F)F)C(F)(F)F)cc3c4=O)c5)c6)c7,0.00075,100,KHz,50,C
*c7cccc(Oc6cccc(Oc5cccc(n4c(=O)c3ccc(C(c2ccc1c(=O)n(*)c(=O)c1c2)(C(F)(F)F)C(F)(F)F)cc3c4=O)c5)c6)c7,0.00076,10,KHz,25,C
*c9ccc(Oc8cccc(Oc7cccc(Oc6cccc(Oc5cccc(n4c(=O)c3ccc(C(c2ccc1c(=O)n(*)c(=O)c1c2)(C(F)(F)F)C(F)(F)F)cc3c4=O)c5)c6C#N)c7C#N)c8C#N)cc9,0.00077,1000,KHz,-100,C
*Oc5ccc(c1ccccc1c2ccccc2c4ccc(OC(=O)c3ccc(C(*)=O)cc3)cc4)cc5,0.0008,0.1,KHz,150,C
*Oc5ccc(c1ccccc1c2ccccc2c4ccc(OC(=O)c3ccc(C(*)=O)cc3)cc4)cc5,0.0008,10,KHz,150,C
*Oc5ccc(c1ccccc1c2ccccc2c4ccc(OC(=O)c3ccc(C(*)=O)cc3)cc4)cc5,0.0008,0.4,KHz,250,C
*CC(*)CC(C)C,0.0008,0.001,KHz,25,C
*CC(*)CC(C)C,0.0008,10,KHz,100,C
